id,name,city,X,Y,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1142A,十五厂,上海,121.4780 ,31.2036 ,65,69,68,59,51,49,54,49,40,35,26,24,25,27,31,30,23,,20,26,26,34,27,21
1144A,徐汇上师大,上海,121.4120 ,31.1654 ,68,62,59,54,49,50,51,44,39,33,20,16,16,17,18,20,18,16,17,18,21,23,23,19
1146A,青浦淀山湖,上海,120.9780 ,31.0935 ,84,100,112,119,121,129,125,119,102,91,82,67,53,42,39,31,31,28,23,30,37,33,34,33
1150A,浦东张江,上海,121.5770 ,31.2071 ,69,65,59,55,61,64,59,48,45,30,23,18,15,27,21,23,24,21,16,21,20,24,24,24
1223A,滨江,杭州,120.2110 ,30.2100 ,21,23,23,23,23,24,23,23,25,33,32,25,26,37,34,32,30,28,23,21,18,17,16,15
1224A,西溪,杭州,120.0630 ,30.2747 ,40,45,32,29,31,32,28,28,29,43,61,65,63,50,44,53,60,47,32,20,12,8,7,41
1225A,千岛湖,杭州,119.0260 ,29.6350 ,15,15,16,17,19,22,23,23,23,23,26,24,22,20,17,22,22,23,28,40,52,60,62,66
1226A,下沙,杭州,120.3480 ,30.3058 ,,60,60,61,62,62,,85,83,51,44,41,44,41,35,36,33,21,17,18,18,18,18,17
1227A,卧龙桥,杭州,120.1270 ,30.2456 ,36,42,52,59,62,62,59,44,41,54,60,63,56,59,57,47,43,37,28,17,14,11,10,17
1228A,浙江农大,杭州,120.1900 ,30.2692 ,57,66,67,68,64,62,50,38,30,39,46,44,41,39,37,35,35,27,17,15,15,14,14,14
1229A,朝晖五区,杭州,120.1570 ,30.2897 ,,,,,,,52,28,33,49,58,51,48,51,48,41,51,33,15,12,11,11,10,10
1230A,和睦小学,杭州,120.1200 ,30.3119 ,65,,68,58,29,27,27,30,32,46,59,60,55,43,46,55,55,43,25,16,14,12,11,12
1231A,临平镇,杭州,120.3010 ,30.4183 ,,,,,,,,,,,,,,,,,,,,,,,,
1232A,城厢镇,杭州,120.2700 ,30.1819 ,65,75,,,,,,46,45,51,42,38,37,32,33,30,29,22,16,16,13,14,15,12
1233A,云栖,杭州,120.0880 ,30.1808 ,26,32,40,50,59,67,71,81,75,61,47,41,39,35,34,33,31,27,22,16,11,5,5,7
1235A,万里学院,宁波,121.5600 ,29.8208 ,53,61,76,62,79,77,73,66,69,78,54,44,45,47,36,10,8,6,6,8,8,8,9,10
1236A,龙赛医院,宁波,121.7130 ,29.9572 ,45,45,44,36,40,68,80,80,76,50,23,11,19,12,8,9,8,6,6,7,8,8,10,11
1237A,三江中学,宁波,121.5540 ,29.8906 ,59,62,63,74,76,69,71,69,64,56,33,41,42,44,23,16,16,16,14,15,14,15,14,15
1239A,钱湖水厂,宁波,121.6330 ,29.7736 ,49,50,53,64,64,65,66,67,64,62,67,62,51,51,49,26,9,8,8,10,12,11,11,11
