Observed,Predicted,Intercept,C1_AOD,C2_Sta_Te,C3_Sta_Hu,C4_Sta_Ai,C5_Sta_Wi,C6_Sta_Wi,C7_Sta_ND,Residual,监测点编码,监测点名称,城市,X,Y,Timestamp,Time,PM2_5_12,PM2_5_AV,PM2_5_ACCU
85.0000000000,73.7960248561,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,11.2039751439,1223A,滨江,杭州,120.21100000000,30.21000000000,610,140711,69,85,85
93.0000000000,91.8734985069,21.8962061335,49.1495350065,-15.9656528381,-16.5442557287,7.4569792960,18.1447423284,-1.6530228907,-1.0701961869,1.1265014931,1226A,下沙,杭州,120.34800000000,30.30580000000,610,0,87,93,93
64.0000000000,65.6870369207,22.3195977692,46.3896364072,-15.5657915713,-16.5112585534,10.2960522897,20.0434563300,-0.8433940556,-4.4056540342,-1.6870369207,1227A,卧龙桥,杭州,120.12700000000,30.24560000000,610,0,60,64,64
70.0000000000,78.9327638529,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,-8.9327638529,1228A,浙江农大,杭州,120.19000000000,30.26920000000,610,0,59,70,70
71.0000000000,74.6409453187,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,-3.6409453187,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,610,0,58,71,71
100.0000000000,94.5562485190,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,5.4437514810,1231A,临平镇,杭州,120.30100000000,30.41830000000,610,0,101,100,100
76.0000000000,81.0716765308,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,-5.0716765308,1232A,城厢镇,杭州,120.27000000000,30.18190000000,610,0,75,76,76
62.0000000000,65.0558989386,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-3.0558989386,1233A,云栖,杭州,120.08800000000,30.18080000000,610,0,57,62,62
59.0000000000,50.4460039773,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,8.5539960227,2010A,市政府,临安,119.71830000000,30.23660000000,610,0,61,59,59
57.0000000000,55.5430700931,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,1.4569299069,2011A,四中,临安,119.69420000000,30.23110000000,610,0,67,57,57
33.0000000000,32.8940042158,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,0.1059957842,1223A,滨江,杭州,120.21100000000,30.21000000000,628,140729,25,33,33
29.0000000000,32.4029370962,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-3.4029370962,1224A,西溪,杭州,120.06300000000,30.27470000000,628,0,22,29,29
27.0000000000,25.0242139177,22.3195977692,46.3896364072,-15.5657915713,-16.5112585534,10.2960522897,20.0434563300,-0.8433940556,-4.4056540342,1.9757860823,1227A,卧龙桥,杭州,120.12700000000,30.24560000000,628,0,25,27,27
28.0000000000,36.8491833205,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,-8.8491833205,1228A,浙江农大,杭州,120.19000000000,30.26920000000,628,0,22,28,28
30.0000000000,38.4830000963,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,-8.4830000963,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,628,0,22,30,30
34.0000000000,44.1097342691,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-10.1097342691,1230A,和睦小学,杭州,120.12000000000,30.31190000000,628,0,27,34,34
23.0000000000,31.7529627489,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-8.7529627489,1233A,云栖,杭州,120.08800000000,30.18080000000,628,0,16,23,23
26.0000000000,30.4012571843,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,-4.4012571843,2010A,市政府,临安,119.71830000000,30.23660000000,628,0,23,26,26
