Observed,Predicted,Intercept,C1_AOD,C2_Temper,C3_Humidi,C4_Air_pr,C5_Wind_s,C6_Wind_d,C7_NDVI,Residual,X,Y
85.0000000000,73.7960752666,-101.9878280002,47.1785488428,-1.0426775270,-0.2319197373,0.1569678008,6.3125517853,-0.0020524320,-5.0356468857,11.2039247334,120.21100000000,30.21000000000
93.0000000000,91.8728322087,-63.0626535341,49.1491055323,-1.0860630220,-0.2421087708,0.1177740073,5.8118298817,-0.0051475880,-1.7232324688,1.1271677913,120.34800000000,30.30580000000
64.0000000000,65.6873628238,-104.8709008858,46.3890617414,-1.0588396904,-0.2416541332,0.1625786127,6.4199868904,-0.0026269845,-7.1011647368,-1.6873628238,120.12700000000,30.24560000000
70.0000000000,78.9325612595,-82.6124323985,47.2563955705,-1.0365405138,-0.2455800974,0.1387695349,6.1510429440,-0.0029169542,-5.7005788619,-8.9325612595,120.19000000000,30.26920000000
71.0000000000,74.6414602244,-81.1426769196,46.9785803032,-1.0471739558,-0.2509073508,0.1385875962,6.1736428488,-0.0032160575,-6.5035273565,-3.6414602244,120.15700000000,30.28970000000
100.0000000000,94.5565432728,-18.4049855486,49.5327816022,-1.1011348922,-0.2667946247,0.0756109711,5.8591156251,-0.0063672459,-3.3372182815,5.4434567272,120.30100000000,30.41830000000
76.0000000000,81.0712609262,-107.5478446308,47.6635276890,-1.0641778449,-0.2238311065,0.1615517763,6.2711428430,-0.0020091142,-3.3942507705,-5.0712609262,120.27000000000,30.18190000000
62.0000000000,65.0562102110,-141.0909922992,45.6401212232,-1.0968221212,-0.2287760729,0.1996737394,6.8916093806,-0.0022216748,-7.8284018046,-3.0562102110,120.08800000000,30.18080000000
59.0000000000,50.4462162196,-244.1926142375,42.4457119425,-1.7434058585,-0.2966381451,0.3373460844,8.2602191006,-0.0356893500,-15.1096813331,8.5537837804,119.71830000000,30.23660000000
57.0000000000,55.5427567935,-256.1138015167,42.5179063600,-1.7949649948,-0.3025591314,0.3520268915,8.3090870073,-0.0392982410,-15.3866914028,1.4572432065,119.69420000000,30.23110000000
33.0000000000,32.8957186790,-101.9878280002,47.1785488428,-1.0426775270,-0.2319197373,0.1569678008,6.3125517853,-0.0020524320,-5.0356468857,0.1042813210,120.21100000000,30.21000000000
29.0000000000,32.4027022600,-110.9140339118,45.7460685440,-1.1084058671,-0.2500337206,0.1719709961,6.5409517036,-0.0039646649,-8.5332272408,-3.4027022600,120.06300000000,30.27470000000
27.0000000000,25.0243712639,-104.8709008858,46.3890617414,-1.0588396904,-0.2416541332,0.1625786127,6.4199868904,-0.0026269845,-7.1011647368,1.9756287361,120.12700000000,30.24560000000
28.0000000000,36.8480972535,-82.6124323985,47.2563955705,-1.0365405138,-0.2455800974,0.1387695349,6.1510429440,-0.0029169542,-5.7005788619,-8.8480972535,120.19000000000,30.26920000000
30.0000000000,38.4832640178,-81.1426769196,46.9785803032,-1.0471739558,-0.2509073508,0.1385875962,6.1736428488,-0.0032160575,-6.5035273565,-8.4832640178,120.15700000000,30.28970000000
34.0000000000,44.1104432546,-80.9982128229,46.6456552291,-1.0707489125,-0.2567267407,0.1402472828,6.2164542949,-0.0037674999,-7.3585075527,-10.1104432546,120.12000000000,30.31190000000
