FID,date,wei,jing,rain,tem,wet,pre,wind,dire
0,2015-8-5-12,29.4081,118.155,0,24.6,87,980,0.1,160
-1,2015-8-5-12,29.4558,118.079,0,23.9,,,2.3,278
-2,2015-8-5-12,29.3461,118.107,0,26.8,,,0.3,211
-3,2015-8-5-12,29.0667,118.017,0,25.9,,,,
-4,2015-8-5-12,29.2058,118.015,0,26.7,,,,
-5,2015-8-5-12,29.3686,118.791,0,28,,,,
-6,2015-8-5-12,29.3222,118.033,0,26.5,,,2.4,221
-7,2015-8-5-12,29.3725,118.052,0,26.6,,,0.7,337
-8,2015-8-5-12,29.0497,118.021,0,,,,,
-9,2015-8-5-12,29.0997,118.016,0,,,,,
-10,2015-8-5-12,30.1056,119.228,0,28,,,,
-11,2015-8-5-12,30.0353,119.732,0,29.4,72,999.4,2.7,37
-12,2015-8-5-12,30.1411,119.57,0,27.4,,,,
-13,2015-8-5-12,30.1333,119.857,0,27.5,,,,
-14,2015-8-5-12,29.8925,120.001,0,27,,,1.2,131
-15,2015-8-5-12,29.9375,120.018,0,26.2,,,,
-16,2015-8-5-12,29.98,119.9,0,28.9,,,,
-17,2015-8-5-12,29.9256,119.772,0,26.9,,,,
-18,2015-8-5-12,30.02,119.83,0,28.5,,,1.1,277
-19,2015-8-5-12,30.2833,120.538,0,34,41,1003.8,1.6,108
-20,2015-8-5-12,30.01,120.18,0,31.6,,,,
-21,2015-8-5-12,30.1158,120.278,0,32.8,,,2.2,27
-22,2015-8-5-12,29.7214,119.416,0,27.3,,,,
-23,2015-8-5-12,29.5186,119.658,0,26.9,,,,
-24,2015-8-5-12,29.4406,119.512,0,28.7,,,0.8,176
-25,2015-8-5-12,29.4267,119.307,0,26.5,,,,
-26,2015-8-5-12,30.22,120.21,0,31.1,,,1.5,17
-27,2015-8-5-12,30.1747,120.111,0,29.8,,,1.3,14
-28,2015-8-5-12,30.3244,120.204,0,,,,0.5,47
-29,2015-8-5-12,30.1792,120.09,0,28,,,1.1,28
-30,2015-8-5-12,30.1803,120.027,0,31.1,,,,
-31,2015-8-5-12,29.3322,118.982,0,26.4,81,976.4,0.8,334
-32,2015-8-5-12,30.4297,119.573,0,22.3,89,925.8,0.9,45
-33,2015-8-5-12,30.1919,119.045,0,28.7,45,954.7,4.4,266
-34,2015-8-5-12,29.8147,119.945,0,27.9,,,1,214
-35,2015-8-5-12,29.9131,119.872,0,30.9,66,1002.9,1.2,61
-36,2015-8-5-12,29.8317,118.861,,29.2,100,984.9,1.3,71
-37,2015-8-5-12,30.1003,119.521,0,28.9,78,994.7,0.3,201
-38,2015-8-5-12,30.1775,120.34,0,33.2,,,,
-39,2015-8-5-12,29.6597,119.341,0,25.5,,,1.1,255
-40,2015-8-5-12,30.1414,120.124,0,31.2,,,1.7,308
-41,2015-8-5-12,29.9406,120.279,0,28,,,,
-42,2015-8-5-12,30.1908,120.579,0,33.3,,,,
-43,2015-8-5-12,30.0636,118.949,0,26.1,,,1.4,275
-44,2015-8-5-12,30.37,119.66,0,22.9,98,978.7,0.6,308
-45,2015-8-5-12,29.7683,119.718,0,27.1,73,987.5,1.6,57
-46,2015-8-5-12,29.9217,119.433,0,29.9,,,,
-47,2015-8-5-12,30.3683,120.145,0,26,86,1003.9,0.7,74
-48,2015-8-5-12,30.1667,120.146,0,33.5,,,0.7,319
-49,2015-8-5-12,30.2419,120.049,0,32.2,,,1.8,39
-50,2015-8-5-12,30.3192,120.081,0,32.1,,,1.4,98
-51,2015-8-5-12,30.1667,120.067,0,29.5,72,1003.1,0.8,271
-52,2015-8-5-12,30.2667,120.217,0,30.2,,,0.8,55
-53,2015-8-5-12,29.97,119.72,0,29.7,76,1001.7,0.9,11
-54,2015-8-5-12,30.1628,119.223,0,29.1,59,988.7,1.4,295
-55,2015-8-5-12,29.33,119.17,0,29.3,,,1.4,310
-56,2015-8-5-12,30.2833,120.633,0,32.2,,,2.8,129
-57,2015-8-5-12,29.85,119.35,0,27.3,,,0.8,315
-58,2015-8-5-12,29.345,118.695,0,28.8,,,0.8,329
-59,2015-8-5-12,30.2211,120.108,0,29.8,,,1.5,60
-60,2015-8-5-12,30.2664,119.908,0,30.9,,,1.4,350
-61,2015-8-5-12,30.01,120.3,0,31.3,,,0.3,295
-62,2015-8-5-12,30.2667,120.433,0,33.1,,,0.7,116
-63,2015-8-5-12,29.7164,119.794,0,-50,96,978.2,1.1,199
-64,2015-8-5-12,30.1683,119.661,0,26.3,,,,
-65,2015-8-5-12,30.0978,119.098,0,26.7,77,984.1,1.3,234
-66,2015-8-5-12,30.0936,119.395,0,28.9,,,,
-67,2015-8-5-12,30.1981,119.497,0,27.9,,,,
-68,2015-8-5-12,29.8381,119.455,0,26.2,,,,
-69,2015-8-5-12,29.7783,119.416,0,24.1,,,,
-70,2015-8-5-12,29.8294,119.605,0,28.9,,,,
-71,2015-8-5-12,29.6544,119.709,0,24.9,,,,
-72,2015-8-5-12,29.36,119.51,0,29.6,,,1.1,297
